               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 109,               1.636,              1.0904,              1.5371,             0.81131,             0.68284,             0.71146,             0.37044,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,              1.6347,              1.1025,              1.5443,           0.0012087,            0.036596,          0.00080702,          0.00021713,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,               1.656,               1.121,              1.5671,             0.46731,             0.20225,             0.21399,             0.10821,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,              1.6119,              1.0738,              1.5461,             0.75635,              0.5842,              0.6406,             0.32697,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,              1.6351,               1.066,              1.5514,             0.37131,             0.20325,             0.19402,             0.07804,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,              1.6329,              1.0794,              1.5503,             0.81117,             0.68053,             0.71303,              0.3675,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              1.6312,              1.0758,              1.5636,             0.66377,             0.37257,             0.39893,             0.18864,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,              1.6717,              1.0996,              1.5661,              0.8128,             0.64564,             0.69412,              0.3578,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,              1.6958,              1.1168,              1.6083,             0.75794,             0.64703,             0.68016,             0.33675,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,              1.6121,              1.0667,              1.5566,             0.68549,             0.42041,              0.4826,             0.24483,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,              1.6223,              1.0595,              1.5225,             0.80359,             0.71349,             0.74268,             0.38369,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,              1.6082,              1.0646,              1.5295,             0.80438,             0.66306,              0.6913,             0.36358,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              1.5982,              1.0374,               1.517,             0.76103,             0.52953,              0.5927,             0.30495,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,              1.6006,              1.0425,              1.5316,             0.79997,             0.60004,             0.64657,             0.34072,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,              1.5599,              1.0271,              1.5186,             0.61155,             0.23852,             0.27177,             0.12024,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,              1.6161,               1.069,              1.5453,             0.31485,             0.13199,             0.20428,            0.066731,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              1.6585,              1.0816,              1.5749,             0.63588,             0.32065,             0.37773,             0.16887,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,              1.5929,              1.0142,               1.529,             0.63763,             0.17375,             0.29472,             0.13528,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,              1.6185,              1.0538,              1.5545,             0.80587,             0.68163,              0.6878,             0.36145,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,              1.6253,              1.0637,              1.5486,             0.45714,             0.26072,             0.27489,             0.11303,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,              1.5831,              1.0463,              1.5115,             0.44316,             0.33541,             0.38303,             0.17546,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
