                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.1148,                0.63782,                  1.157,                0.82149,                0.81858,                0.82553,                0.41705,                 1.3911,                0.73516,                 1.3301,              0.0006982,              0.0006982,              0.0006982
                     95,                 1.0998,                0.64282,                 1.1496,                0.90668,                0.73128,                0.82917,                0.41278,                 1.4103,                0.76866,                 1.3234,             0.00069744,             0.00069744,             0.00069744
                     96,                 1.1073,                0.64468,                 1.1477,                0.85436,                0.77245,                0.81554,                0.41403,                 1.4512,                0.74091,                 1.3641,             0.00069668,             0.00069668,             0.00069668
                     97,                 1.0988,                0.65074,                 1.1466,                0.77423,                0.79371,                0.81972,                 0.4185,                 1.4163,                0.75346,                 1.3709,             0.00069591,             0.00069591,             0.00069591
                     98,                 1.1089,                0.63748,                 1.1479,                0.76256,                0.77512,                0.79589,                0.40695,                 1.4367,                 0.8217,                 1.3539,             0.00069515,             0.00069515,             0.00069515
                     99,                 1.0879,                0.64018,                 1.1412,                0.81497,                0.79964,                0.82714,                 0.4353,                 1.3851,                0.74739,                 1.3242,             0.00069439,             0.00069439,             0.00069439
                    100,                 1.0874,                0.62565,                  1.137,                0.80507,                0.82152,                0.83349,                0.42679,                 1.3793,                0.73341,                 1.3311,             0.00069363,             0.00069363,             0.00069363
                    101,                 1.0481,                 0.6064,                 1.1228,                0.83918,                0.79743,                0.82008,                0.42296,                 1.3954,                0.72471,                 1.3327,             0.00069287,             0.00069287,             0.00069287
                    102,                 1.0552,                0.62294,                 1.1345,                0.80522,                 0.7972,                0.81472,                0.41633,                 1.4204,                0.75147,                 1.3597,             0.00069211,             0.00069211,             0.00069211
                    103,                 1.0665,                0.61993,                 1.1347,                0.77673,                0.80644,                 0.8076,                0.41786,                 1.4427,                0.74496,                   1.33,             0.00069135,             0.00069135,             0.00069135
                    104,                 1.0374,                0.60334,                 1.1218,                0.85936,                0.73971,                0.81468,                0.42455,                 1.3936,                0.72166,                 1.3311,             0.00069059,             0.00069059,             0.00069059
                    105,                 1.0406,                0.60137,                 1.1123,                0.84128,                0.78477,                0.84552,                0.44701,                 1.3839,                0.72753,                  1.325,             0.00068982,             0.00068982,             0.00068982
